pointid,POINT,POINT_X,POINT_Y
1,japan-geoglows_1,141.6248246,45.25002737
2,japan-geoglows_2,141.8748243,45.25002737
3,japan-geoglows_3,142.1248239,45.25002737
4,japan-geoglows_4,141.8748243,45.00002753
5,japan-geoglows_5,142.1248239,45.00002753
6,japan-geoglows_6,142.3748236,45.00002753
7,japan-geoglows_7,141.8748243,44.75002768
8,japan-geoglows_8,142.1248239,44.75002768
9,japan-geoglows_9,142.3748236,44.75002768
10,japan-geoglows_10,142.6248233,44.75002768
11,japan-geoglows_11,141.8748243,44.50002783
12,japan-geoglows_12,142.1248239,44.50002783
13,japan-geoglows_13,142.3748236,44.50002783
14,japan-geoglows_14,142.6248233,44.50002783
15,japan-geoglows_15,142.874823,44.50002783
16,japan-geoglows_16,143.1248226,44.50002783
17,japan-geoglows_17,141.8748243,44.25002798
18,japan-geoglows_18,142.1248239,44.25002798
19,japan-geoglows_19,142.3748236,44.25002798
20,japan-geoglows_20,142.6248233,44.25002798
21,japan-geoglows_21,142.874823,44.25002798
22,japan-geoglows_22,143.1248226,44.25002798
23,japan-geoglows_23,143.3748223,44.25002798
24,japan-geoglows_24,143.624822,44.25002798
25,japan-geoglows_25,141.8748243,44.00002814
26,japan-geoglows_26,142.1248239,44.00002814
27,japan-geoglows_27,142.3748236,44.00002814
28,japan-geoglows_28,142.6248233,44.00002814
29,japan-geoglows_29,142.874823,44.00002814
30,japan-geoglows_30,143.1248226,44.00002814
31,japan-geoglows_31,143.3748223,44.00002814
32,japan-geoglows_32,143.624822,44.00002814
33,japan-geoglows_33,143.8748217,44.00002814
34,japan-geoglows_34,144.1248213,44.00002814
35,japan-geoglows_35,144.374821,44.00002814
36,japan-geoglows_36,145.12482,44.00002814
37,japan-geoglows_37,141.6248246,43.75002829
38,japan-geoglows_38,141.8748243,43.75002829
39,japan-geoglows_39,142.1248239,43.75002829
40,japan-geoglows_40,142.3748236,43.75002829
41,japan-geoglows_41,142.6248233,43.75002829
42,japan-geoglows_42,142.874823,43.75002829
43,japan-geoglows_43,143.1248226,43.75002829
44,japan-geoglows_44,143.3748223,43.75002829
45,japan-geoglows_45,143.624822,43.75002829
46,japan-geoglows_46,143.8748217,43.75002829
47,japan-geoglows_47,144.1248213,43.75002829
48,japan-geoglows_48,144.374821,43.75002829
49,japan-geoglows_49,144.6248207,43.75002829
50,japan-geoglows_50,144.8748204,43.75002829
51,japan-geoglows_51,141.6248246,43.50002844
52,japan-geoglows_52,141.8748243,43.50002844
53,japan-geoglows_53,142.1248239,43.50002844
54,japan-geoglows_54,142.3748236,43.50002844
55,japan-geoglows_55,142.6248233,43.50002844
56,japan-geoglows_56,142.874823,43.50002844
57,japan-geoglows_57,143.1248226,43.50002844
58,japan-geoglows_58,143.3748223,43.50002844
59,japan-geoglows_59,143.624822,43.50002844
60,japan-geoglows_60,143.8748217,43.50002844
61,japan-geoglows_61,144.1248213,43.50002844
62,japan-geoglows_62,144.374821,43.50002844
63,japan-geoglows_63,144.6248207,43.50002844
64,japan-geoglows_64,144.8748204,43.50002844
65,japan-geoglows_65,145.12482,43.50002844
66,japan-geoglows_66,140.3748262,43.25002859
67,japan-geoglows_67,140.6248259,43.25002859
68,japan-geoglows_68,141.6248246,43.25002859
69,japan-geoglows_69,141.8748243,43.25002859
70,japan-geoglows_70,142.1248239,43.25002859
71,japan-geoglows_71,142.3748236,43.25002859
72,japan-geoglows_72,142.6248233,43.25002859
73,japan-geoglows_73,142.874823,43.25002859
74,japan-geoglows_74,143.1248226,43.25002859
75,japan-geoglows_75,143.3748223,43.25002859
76,japan-geoglows_76,143.624822,43.25002859
77,japan-geoglows_77,143.8748217,43.25002859
78,japan-geoglows_78,144.1248213,43.25002859
79,japan-geoglows_79,144.374821,43.25002859
80,japan-geoglows_80,144.6248207,43.25002859
81,japan-geoglows_81,144.8748204,43.25002859
82,japan-geoglows_82,145.12482,43.25002859
83,japan-geoglows_83,145.3748197,43.25002859
84,japan-geoglows_84,140.6248259,43.00002875
85,japan-geoglows_85,140.8748256,43.00002875
86,japan-geoglows_86,141.1248252,43.00002875
87,japan-geoglows_87,141.3748249,43.00002875
88,japan-geoglows_88,141.6248246,43.00002875
89,japan-geoglows_89,141.8748243,43.00002875
90,japan-geoglows_90,142.1248239,43.00002875
91,japan-geoglows_91,142.3748236,43.00002875
92,japan-geoglows_92,142.6248233,43.00002875
93,japan-geoglows_93,142.874823,43.00002875
94,japan-geoglows_94,143.1248226,43.00002875
95,japan-geoglows_95,143.3748223,43.00002875
96,japan-geoglows_96,143.624822,43.00002875
97,japan-geoglows_97,143.8748217,43.00002875
98,japan-geoglows_98,144.1248213,43.00002875
99,japan-geoglows_99,144.374821,43.00002875
100,japan-geoglows_100,144.6248207,43.00002875
101,japan-geoglows_101,140.3748262,42.7500289
102,japan-geoglows_102,140.6248259,42.7500289
103,japan-geoglows_103,140.8748256,42.7500289
104,japan-geoglows_104,141.1248252,42.7500289
105,japan-geoglows_105,141.3748249,42.7500289
106,japan-geoglows_106,141.6248246,42.7500289
107,japan-geoglows_107,141.8748243,42.7500289
108,japan-geoglows_108,142.1248239,42.7500289
109,japan-geoglows_109,142.3748236,42.7500289
110,japan-geoglows_110,142.6248233,42.7500289
111,japan-geoglows_111,142.874823,42.7500289
112,japan-geoglows_112,143.1248226,42.7500289
113,japan-geoglows_113,143.3748223,42.7500289
114,japan-geoglows_114,143.624822,42.7500289
115,japan-geoglows_115,143.8748217,42.7500289
116,japan-geoglows_116,139.8748269,42.50002905
117,japan-geoglows_117,140.1248266,42.50002905
118,japan-geoglows_118,140.8748256,42.50002905
119,japan-geoglows_119,141.1248252,42.50002905
120,japan-geoglows_120,142.1248239,42.50002905
121,japan-geoglows_121,142.3748236,42.50002905
122,japan-geoglows_122,142.6248233,42.50002905
123,japan-geoglows_123,142.874823,42.50002905
124,japan-geoglows_124,143.1248226,42.50002905
125,japan-geoglows_125,143.3748223,42.50002905
126,japan-geoglows_126,140.1248266,42.2500292
127,japan-geoglows_127,142.6248233,42.2500292
128,japan-geoglows_128,142.874823,42.2500292
129,japan-geoglows_129,143.1248226,42.2500292
130,japan-geoglows_130,140.1248266,42.00002936
131,japan-geoglows_131,140.3748262,42.00002936
132,japan-geoglows_132,140.6248259,42.00002936
133,japan-geoglows_133,140.3748262,41.75002951
134,japan-geoglows_134,140.1248266,41.50002966
135,japan-geoglows_135,140.8748256,41.25002981
136,japan-geoglows_136,141.1248252,41.25002981
137,japan-geoglows_137,141.3748249,41.25002981
138,japan-geoglows_138,140.3748262,41.00002997
139,japan-geoglows_139,141.3748249,41.00002997
140,japan-geoglows_140,140.3748262,40.75003012
141,japan-geoglows_141,140.6248259,40.75003012
142,japan-geoglows_142,140.8748256,40.75003012
143,japan-geoglows_143,141.1248252,40.75003012
144,japan-geoglows_144,140.1248266,40.50003027
145,japan-geoglows_145,140.3748262,40.50003027
146,japan-geoglows_146,140.6248259,40.50003027
147,japan-geoglows_147,140.8748256,40.50003027
148,japan-geoglows_148,141.1248252,40.50003027
149,japan-geoglows_149,141.3748249,40.50003027
150,japan-geoglows_150,140.1248266,40.25003042
151,japan-geoglows_151,140.3748262,40.25003042
152,japan-geoglows_152,140.6248259,40.25003042
153,japan-geoglows_153,140.8748256,40.25003042
154,japan-geoglows_154,141.1248252,40.25003042
155,japan-geoglows_155,141.3748249,40.25003042
156,japan-geoglows_156,141.6248246,40.25003042
157,japan-geoglows_157,140.1248266,40.00003058
158,japan-geoglows_158,140.3748262,40.00003058
159,japan-geoglows_159,140.6248259,40.00003058
160,japan-geoglows_160,140.8748256,40.00003058
161,japan-geoglows_161,141.1248252,40.00003058
162,japan-geoglows_162,141.3748249,40.00003058
163,japan-geoglows_163,141.6248246,40.00003058
164,japan-geoglows_164,141.8748243,40.00003058
165,japan-geoglows_165,140.1248266,39.75003073
166,japan-geoglows_166,140.3748262,39.75003073
167,japan-geoglows_167,140.6248259,39.75003073
168,japan-geoglows_168,140.8748256,39.75003073
169,japan-geoglows_169,141.1248252,39.75003073
170,japan-geoglows_170,141.3748249,39.75003073
171,japan-geoglows_171,141.6248246,39.75003073
172,japan-geoglows_172,141.8748243,39.75003073
173,japan-geoglows_173,140.1248266,39.50003088
174,japan-geoglows_174,140.3748262,39.50003088
175,japan-geoglows_175,140.6248259,39.50003088
176,japan-geoglows_176,140.8748256,39.50003088
177,japan-geoglows_177,141.1248252,39.50003088
178,japan-geoglows_178,141.3748249,39.50003088
179,japan-geoglows_179,141.6248246,39.50003088
180,japan-geoglows_180,141.8748243,39.50003088
181,japan-geoglows_181,140.1248266,39.25003103
182,japan-geoglows_182,140.3748262,39.25003103
183,japan-geoglows_183,140.6248259,39.25003103
184,japan-geoglows_184,140.8748256,39.25003103
185,japan-geoglows_185,141.1248252,39.25003103
186,japan-geoglows_186,141.3748249,39.25003103
187,japan-geoglows_187,141.6248246,39.25003103
188,japan-geoglows_188,139.8748269,39.00003119
189,japan-geoglows_189,140.1248266,39.00003119
190,japan-geoglows_190,140.3748262,39.00003119
191,japan-geoglows_191,140.6248259,39.00003119
192,japan-geoglows_192,140.8748256,39.00003119
193,japan-geoglows_193,141.1248252,39.00003119
194,japan-geoglows_194,141.3748249,39.00003119
195,japan-geoglows_195,141.6248246,39.00003119
196,japan-geoglows_196,139.8748269,38.75003134
197,japan-geoglows_197,140.1248266,38.75003134
198,japan-geoglows_198,140.3748262,38.75003134
199,japan-geoglows_199,140.6248259,38.75003134
200,japan-geoglows_200,140.8748256,38.75003134
201,japan-geoglows_201,141.1248252,38.75003134
202,japan-geoglows_202,141.3748249,38.75003134
203,japan-geoglows_203,141.6248246,38.75003134
204,japan-geoglows_204,139.6248272,38.50003149
205,japan-geoglows_205,139.8748269,38.50003149
206,japan-geoglows_206,140.1248266,38.50003149
207,japan-geoglows_207,140.3748262,38.50003149
208,japan-geoglows_208,140.6248259,38.50003149
209,japan-geoglows_209,140.8748256,38.50003149
210,japan-geoglows_210,141.1248252,38.50003149
211,japan-geoglows_211,141.3748249,38.50003149
212,japan-geoglows_212,139.6248272,38.25003164
213,japan-geoglows_213,139.8748269,38.25003164
214,japan-geoglows_214,140.1248266,38.25003164
215,japan-geoglows_215,140.3748262,38.25003164
216,japan-geoglows_216,140.6248259,38.25003164
217,japan-geoglows_217,140.8748256,38.25003164
218,japan-geoglows_218,138.3748288,38.0000318
219,japan-geoglows_219,139.3748275,38.0000318
220,japan-geoglows_220,139.6248272,38.0000318
221,japan-geoglows_221,139.8748269,38.0000318
222,japan-geoglows_222,140.1248266,38.0000318
223,japan-geoglows_223,140.3748262,38.0000318
224,japan-geoglows_224,140.6248259,38.0000318
225,japan-geoglows_225,138.8748282,37.75003195
226,japan-geoglows_226,139.1248279,37.75003195
227,japan-geoglows_227,139.3748275,37.75003195
228,japan-geoglows_228,139.6248272,37.75003195
229,japan-geoglows_229,139.8748269,37.75003195
230,japan-geoglows_230,140.1248266,37.75003195
231,japan-geoglows_231,140.3748262,37.75003195
232,japan-geoglows_232,140.6248259,37.75003195
233,japan-geoglows_233,140.8748256,37.75003195
234,japan-geoglows_234,138.8748282,37.5000321
235,japan-geoglows_235,139.1248279,37.5000321
236,japan-geoglows_236,139.3748275,37.5000321
237,japan-geoglows_237,139.6248272,37.5000321
238,japan-geoglows_238,139.8748269,37.5000321
239,japan-geoglows_239,140.1248266,37.5000321
240,japan-geoglows_240,140.3748262,37.5000321
241,japan-geoglows_241,140.6248259,37.5000321
242,japan-geoglows_242,140.8748256,37.5000321
243,japan-geoglows_243,141.1248252,37.5000321
244,japan-geoglows_244,136.8748308,37.25003225
245,japan-geoglows_245,138.3748288,37.25003225
246,japan-geoglows_246,138.6248285,37.25003225
247,japan-geoglows_247,138.8748282,37.25003225
248,japan-geoglows_248,139.1248279,37.25003225
249,japan-geoglows_249,139.3748275,37.25003225
250,japan-geoglows_250,139.6248272,37.25003225
251,japan-geoglows_251,139.8748269,37.25003225
252,japan-geoglows_252,140.1248266,37.25003225
253,japan-geoglows_253,140.3748262,37.25003225
254,japan-geoglows_254,140.6248259,37.25003225
255,japan-geoglows_255,140.8748256,37.25003225
256,japan-geoglows_256,141.1248252,37.25003225
257,japan-geoglows_257,136.8748308,37.00003241
258,japan-geoglows_258,137.8748295,37.00003241
259,japan-geoglows_259,138.1248292,37.00003241
260,japan-geoglows_260,138.3748288,37.00003241
261,japan-geoglows_261,138.6248285,37.00003241
262,japan-geoglows_262,138.8748282,37.00003241
263,japan-geoglows_263,139.1248279,37.00003241
264,japan-geoglows_264,139.3748275,37.00003241
265,japan-geoglows_265,139.6248272,37.00003241
266,japan-geoglows_266,139.8748269,37.00003241
267,japan-geoglows_267,140.1248266,37.00003241
268,japan-geoglows_268,140.3748262,37.00003241
269,japan-geoglows_269,140.6248259,37.00003241
270,japan-geoglows_270,140.8748256,37.00003241
271,japan-geoglows_271,136.8748308,36.75003256
272,japan-geoglows_272,137.1248305,36.75003256
273,japan-geoglows_273,137.3748301,36.75003256
274,japan-geoglows_274,137.6248298,36.75003256
275,japan-geoglows_275,137.8748295,36.75003256
276,japan-geoglows_276,138.1248292,36.75003256
277,japan-geoglows_277,138.3748288,36.75003256
278,japan-geoglows_278,138.6248285,36.75003256
279,japan-geoglows_279,138.8748282,36.75003256
280,japan-geoglows_280,139.1248279,36.75003256
281,japan-geoglows_281,139.3748275,36.75003256
282,japan-geoglows_282,139.6248272,36.75003256
283,japan-geoglows_283,139.8748269,36.75003256
284,japan-geoglows_284,140.1248266,36.75003256
285,japan-geoglows_285,140.3748262,36.75003256
286,japan-geoglows_286,140.6248259,36.75003256
287,japan-geoglows_287,136.6248311,36.50003271
288,japan-geoglows_288,136.8748308,36.50003271
289,japan-geoglows_289,137.1248305,36.50003271
290,japan-geoglows_290,137.3748301,36.50003271
291,japan-geoglows_291,137.6248298,36.50003271
292,japan-geoglows_292,137.8748295,36.50003271
293,japan-geoglows_293,138.1248292,36.50003271
294,japan-geoglows_294,138.3748288,36.50003271
295,japan-geoglows_295,138.6248285,36.50003271
296,japan-geoglows_296,138.8748282,36.50003271
297,japan-geoglows_297,139.1248279,36.50003271
298,japan-geoglows_298,139.3748275,36.50003271
299,japan-geoglows_299,139.6248272,36.50003271
300,japan-geoglows_300,139.8748269,36.50003271
